frame,condition,psnr_bic,ssim_bic,lpips_bic,psnr_sr,ssim_sr,lpips_sr,psnr_swinir,ssim_swinir,lpips_swinir,psnr_sr_ft,ssim_sr_ft,lpips_sr_ft
day_street_f000000.png,day,21.652702090408628,0.5779442175379202,0.6816707849502563,19.850361346397097,0.5839535362842555,0.3216819763183594,19.56891502714165,0.574340955346591,0.3611724376678467,20.87193802135214,0.6466985923978174,0.1938856840133667
day_street_f000066.png,day,20.772564338884646,0.5158742392917616,0.7192375659942627,19.039595999459745,0.5171754363044139,0.32252246141433716,19.007429088808713,0.5156168372233085,0.3573286533355713,20.35210878121893,0.6061858595730215,0.17274855077266693
day_street_f000132.png,day,20.64300720890089,0.5099371547657539,0.7288317680358887,18.86738077741341,0.5090393843613885,0.3232269883155823,18.851669860562765,0.506072239102946,0.35140863060951233,20.23094376014971,0.6009646540160782,0.17000123858451843
day_street_f000198.png,day,20.612487830738004,0.506383790103035,0.7324905395507812,18.790537317906466,0.5114006161811949,0.32596683502197266,18.910615638618516,0.5048698516197057,0.3509655296802521,20.19493641317981,0.5989963576734817,0.1696159839630127
day_street_f000264.png,day,20.687598222728294,0.5152103111976692,0.7227863073348999,18.86817054152179,0.5165559017456032,0.31409910321235657,18.857054332243358,0.5133169829077383,0.34892621636390686,20.173475853196734,0.6067746560150621,0.1694258451461792
day_street_f000330.png,day,20.62482206812154,0.5096857799545486,0.7247684597969055,19.04947602383278,0.5146286695123794,0.31545403599739075,18.96472752755113,0.512271281668307,0.353567510843277,20.169652559345934,0.599986472864083,0.17785261571407318
day_street_f000396.png,day,20.57786080375347,0.5056607916120309,0.7249929904937744,18.936960571839872,0.5094003528624264,0.3216550946235657,18.856928137591346,0.5056377793052595,0.35101592540740967,20.169368695330085,0.5939731847692614,0.18550097942352295
day_street_f000462.png,day,20.655045841982197,0.5119710815704993,0.7237449884414673,18.973812350170512,0.5169193443555846,0.314331978559494,18.96331771568594,0.5144253108305253,0.3487117290496826,20.213504999043536,0.6008871664133268,0.1750231236219406
day_street_f000528.png,day,20.633878256805232,0.5094049132634676,0.72908616065979,18.906772790025347,0.5087115683241267,0.3236865699291229,18.93384454118921,0.5085988701872851,0.3486722707748413,20.229409800639317,0.6012385922777929,0.1737387776374817
day_street_f000594.png,day,20.57434759449334,0.5071672054726529,0.734288215637207,18.879579289348424,0.5105133652275408,0.31833934783935547,18.867772139451763,0.5044046511346841,0.34911349415779114,20.177337822696604,0.6013965915199178,0.17442423105239868
day_street_f000661.png,day,20.859730682138398,0.5320647803269639,0.7031469345092773,19.08468900510456,0.5333606100007828,0.31227412819862366,19.14080506124873,0.5284552438728229,0.34170132875442505,20.376592030175576,0.6219205767774904,0.16115276515483856
day_street_f000727.png,day,20.45604212494836,0.5033493593616315,0.7340584993362427,18.764252468595597,0.5087622000462351,0.3185845911502838,18.83053448979846,0.5052941487383276,0.3410079777240753,20.117834608921417,0.5992709967309241,0.16818413138389587
day_street_f000793.png,day,20.42074524177722,0.5048628588985496,0.7316890954971313,18.671157874208163,0.5104252813047818,0.3183895945549011,18.674782406580785,0.501510399925735,0.34831616282463074,20.08316782633551,0.60166144571272,0.17422381043434143
day_street_f000859.png,day,20.978250005993168,0.5509893531894164,0.6710795760154724,19.281172447670492,0.5504578707012223,0.31029632687568665,19.07915594373589,0.5433039551570854,0.33607399463653564,20.343368615502143,0.6317729693003494,0.1674785166978836
day_street_f000925.png,day,20.27505757194591,0.5063326455631706,0.7100909948348999,18.7399911898805,0.5131085004667492,0.30190935730934143,18.483069815231413,0.5034175039064568,0.3321961462497711,19.880988795358846,0.5986488262784084,0.16437220573425293
day_street_f000991.png,day,20.17624001443549,0.4986453946141925,0.7191224098205566,18.700847754046002,0.5076242895210012,0.3144499659538269,18.558741939505076,0.4989741563710694,0.3367178738117218,19.840386903324298,0.5925417100637796,0.16764593124389648
day_street_f001057.png,day,20.264583382475756,0.5061749241171695,0.7117869257926941,18.658753894442395,0.5113717639841772,0.3098345100879669,18.61679130033863,0.5037132206198238,0.33806586265563965,19.85739119646404,0.5955502543950724,0.16735880076885223
day_street_f001123.png,day,20.256998627473845,0.5046752139718715,0.7055884003639221,18.795045005169115,0.5150683865396954,0.30959194898605347,18.624419905426134,0.5026728979559851,0.3334352374076843,19.902657340107556,0.5970162648588426,0.16513162851333618
day_street_f001189.png,day,20.244204132598618,0.50621365335018,0.7086115479469299,18.574804731128147,0.5086490619463618,0.317832350730896,18.55369367781051,0.49889978599760826,0.3366051912307739,19.879573419844633,0.5973333880400031,0.1722879707813263
