frame,psnr_bic,ssim_bic,psnr_sr,ssim_sr,lpips_bic,lpips_sr
cctv_video_f000000.png,21.642293115290595,0.5769203122751357,19.829184032633453,0.5838126654658183,0.6825065612792969,0.3278062343597412
cctv_video_f000066.png,20.775017619536598,0.5165217195376778,18.97415859486053,0.5159915371506577,0.718903660774231,0.3214656114578247
cctv_video_f000132.png,20.63945778726593,0.5103522946536679,18.786251111553362,0.5053815375532399,0.7271816730499268,0.32372939586639404
cctv_video_f000198.png,20.60598112764009,0.5057937711500945,18.82832332687312,0.5114841405300014,0.7324779033660889,0.32478371262550354
cctv_video_f000264.png,20.68435394885157,0.5147139243401377,18.821709365276874,0.5129961316664411,0.7224558591842651,0.31586194038391113
cctv_video_f000330.png,20.632792409940972,0.5107400285024675,19.050674172828312,0.5130067348242415,0.7225131988525391,0.3204524517059326
cctv_video_f000396.png,20.575903894592752,0.5061785731741661,18.902215340904867,0.5076226386964843,0.7284441590309143,0.3189767897129059
cctv_video_f000462.png,20.65004362360771,0.5109512266940127,18.98407472227904,0.5158210934730126,0.7224493026733398,0.3224238157272339
cctv_video_f000528.png,20.635263270182268,0.5092352650878228,18.956260954036555,0.5112704182697302,0.7264991402626038,0.32431045174598694
cctv_video_f000594.png,20.57074553068899,0.5064532451985824,18.76797644070906,0.5054537090784929,0.7328084111213684,0.32234707474708557
cctv_video_f000661.png,20.858135265388462,0.5320583396911955,19.021824801636328,0.5308284522737264,0.7042108774185181,0.3151423931121826
cctv_video_f000727.png,20.45972873526931,0.5040292580745577,18.80982252121019,0.5086068261288444,0.7332743406295776,0.32206934690475464
cctv_video_f000793.png,20.41917233333956,0.5040197403000435,18.695117212183693,0.5104305241568073,0.7364422678947449,0.31817150115966797
cctv_video_f000859.png,20.989150062098343,0.5515464869148623,19.304801230553675,0.5518986957358981,0.669455349445343,0.3065458834171295
cctv_video_f000925.png,20.28130108862577,0.5065905246168785,18.80043438684573,0.5150931723968513,0.7119966149330139,0.3054557740688324
cctv_video_f000991.png,20.17439877565943,0.4976200247619271,18.595115438055878,0.5059349716911964,0.7174531817436218,0.31296011805534363
cctv_video_f001057.png,20.26866884797655,0.5061876689618295,18.61243150544299,0.510777167744256,0.7041302919387817,0.3072909116744995
cctv_video_f001123.png,20.250845305594364,0.5036906412358368,18.82571794596548,0.5159447569010474,0.7088820934295654,0.31122949719429016
cctv_video_f001189.png,20.248230914726015,0.5055865839916577,18.674318914987396,0.5116195436413412,0.713286280632019,0.31159037351608276
cctv_video_f001255.png,20.498751586158335,0.5152808894951205,18.875857692419984,0.5233990958302925,0.7173782587051392,0.3119264245033264
cctv_video_f001322.png,20.58497242714747,0.5196499510197937,18.903612473041623,0.5261651920881764,0.7065318822860718,0.309956431388855
cctv_video_f001388.png,20.58859778323475,0.5155859291243748,18.971386324001042,0.52182927264377,0.7108705043792725,0.30798059701919556
cctv_video_f001454.png,20.57402060198628,0.5155177057736747,18.96761387279481,0.5235616720635429,0.7088791728019714,0.3051627278327942
cctv_video_f001520.png,20.50003375716738,0.5176157260690739,18.92060964066603,0.5276402515736978,0.7130623459815979,0.2965763509273529
cctv_video_f001586.png,20.518316302612437,0.5138809271931876,18.89963523632703,0.5160148230434495,0.7124115824699402,0.3092767596244812
cctv_video_f001652.png,20.351265929446583,0.5039116402505964,18.85760492921215,0.5076445242677939,0.7186286449432373,0.3138294517993927
cctv_video_f001718.png,20.548589614174816,0.5209732846035681,18.971631981989873,0.5262470293630352,0.7102229595184326,0.30786576867103577
cctv_video_f001784.png,20.37607143697371,0.5085523701515712,18.784991282098957,0.5147110256013071,0.7201703786849976,0.31293433904647827
cctv_video_f001850.png,20.48058080447243,0.5237158634807337,18.850706950084522,0.5274216925488756,0.7027909755706787,0.30261096358299255
cctv_video_f001916.png,20.629287354069774,0.5331171407981162,18.923524563463342,0.5380591388003817,0.6907509565353394,0.30232349038124084
cctv_video_f001983.png,20.282136889804296,0.5026457363869667,18.842568909538315,0.5148547169013106,0.7143524289131165,0.3072304427623749
cctv_video_f002049.png,20.343732660107598,0.503380101950133,18.774604907256155,0.5097533077929938,0.7288895845413208,0.31367355585098267
cctv_video_f002115.png,20.38324436653295,0.5061299863311266,18.72533664054595,0.5146736922062379,0.7242217063903809,0.3163323402404785
cctv_video_f002181.png,20.375682737140313,0.5081828520319099,18.727440803079418,0.5125461039912405,0.7243963479995728,0.3179571032524109
cctv_video_f002247.png,20.53959708453004,0.5303436325145839,18.820307562918934,0.5295010211692553,0.6890363693237305,0.30170440673828125
cctv_video_f002313.png,20.170713774408092,0.5034977622519973,18.554346732611357,0.506714448672728,0.7129530906677246,0.30277442932128906
cctv_video_f002379.png,20.171901099547277,0.5044269846734749,18.599296007855045,0.5085631496282493,0.7115992307662964,0.30355551838874817
cctv_video_f002445.png,20.307376456171045,0.511842153048402,18.746018495045554,0.5192994143789155,0.7107571363449097,0.31285494565963745
cctv_video_f002511.png,20.260667519948004,0.5050587480248038,18.698887190504408,0.5111344068616313,0.7224649786949158,0.313717246055603
cctv_video_f002577.png,20.369585060382814,0.5141690858218843,18.764372455703064,0.5181224551739105,0.7125353217124939,0.30816584825515747
cctv_video_f002644.png,20.377004029023148,0.5166188281519085,18.914959777670784,0.5305192095865109,0.7170655131340027,0.2926648259162903
cctv_video_f002710.png,20.320916564793635,0.5106439765745446,18.91507355510017,0.5228942747521851,0.7167879343032837,0.30010679364204407
cctv_video_f002776.png,20.44266683322387,0.5250032086223121,18.954298574287172,0.5340752511411704,0.7007155418395996,0.30682533979415894
cctv_video_f002842.png,20.212181000080705,0.5064302395628716,18.77834477248287,0.5183620171513308,0.7209770083427429,0.3037431836128235
cctv_video_f002908.png,20.212986358415364,0.5050462907665414,18.729087935737784,0.5118369965299437,0.7205368876457214,0.3097634017467499
cctv_video_f002974.png,20.56320676261288,0.5324126733527251,18.922856469925215,0.5355436193392528,0.6963871121406555,0.3070259094238281
cctv_video_f003040.png,20.193128609081104,0.5038761637076142,18.70046073092539,0.512047565136729,0.7242740392684937,0.3113276958465576
cctv_video_f003106.png,20.129253132523143,0.5078816891401677,18.667094219836383,0.5175420701769945,0.7138007283210754,0.30496200919151306
cctv_video_f003172.png,20.239050421932923,0.5164124610514393,18.698616937326605,0.518859306929725,0.705306887626648,0.30265018343925476
cctv_video_f003238.png,20.285932390665714,0.5133734926872076,18.730856395468987,0.5215279901070473,0.7055940628051758,0.31441614031791687
cctv_video_f003305.png,20.059357083827255,0.501305262347742,18.637053302522112,0.5119928736882113,0.722348153591156,0.3073679208755493
cctv_video_f003371.png,20.199911609233645,0.5122695903442559,18.620845827872923,0.5156031199215488,0.7062458992004395,0.31044501066207886
cctv_video_f003437.png,20.29707879660105,0.5144356877782185,18.815630677795113,0.5259092939871742,0.7029324173927307,0.3096786141395569
cctv_video_f003503.png,20.18785048739157,0.5044380834916625,18.642435263492423,0.5090316612540767,0.7161312699317932,0.3138236999511719
cctv_video_f003569.png,20.14207327229931,0.5005155160912242,18.71059807345293,0.5117305435817651,0.7188077569007874,0.3096061050891876
cctv_video_f003635.png,20.284651133882004,0.5110449829396758,18.93724785741442,0.5268780789728723,0.7059792280197144,0.31247249245643616
cctv_video_f003701.png,20.23319060354046,0.5076163894880708,18.68587689741313,0.5139965669151962,0.7230719923973083,0.3111587166786194
cctv_video_f003767.png,20.30943220221042,0.5150183583384792,18.88241647417544,0.5250695397768363,0.7183196544647217,0.31111764907836914
cctv_video_f003833.png,20.137129864410745,0.5053480261411526,18.83212561675389,0.5217409824071652,0.7158166170120239,0.31102699041366577
cctv_video_f003900.png,20.448177607994467,0.5242796832932429,18.931303356500695,0.5355485830640202,0.7088285088539124,0.3081721067428589
