video,n_frames,psnr_bic,psnr_sr,psnr_swinir,psnr_sr_ft,ssim_bic,ssim_sr,ssim_swinir,ssim_sr_ft,lpips_bic,lpips_sr,lpips_swinir,lpips_sr_ft,psnr_bic_std,psnr_sr_std,psnr_swinir_std,psnr_sr_ft_std,ssim_bic_std,ssim_sr_std,ssim_swinir_std,ssim_sr_ft_std,lpips_bic_std,lpips_sr_std,lpips_swinir_std,lpips_sr_ft_std
day_street,60,20.424571194475384,18.837601184950415,18.787051502834892,20.062309274378013,0.5132533821482727,0.5196930152152713,0.5168106508720763,0.6045142518734241,0.7140102386474609,0.31122664660215377,0.3328654021024704,0.16939024428526558,0.25418201795785555,0.19634807808362553,0.19079288471647132,0.1779394271502912,0.012774687094123225,0.012586657604510533,0.012446584475908913,0.009584042943038244,0.012036303765170502,0.006337876978891468,0.010892650421703865,0.00585749105179054
indoor_garaje,60,18.186791927949038,18.220341930020265,18.739675189585025,20.654283584117184,0.5663989337611058,0.6828761911295859,0.7440318972158522,0.861617684431993,0.641201063990593,0.2837518612543742,0.20785750995079674,0.08465138549606001,0.01911729953724469,0.04359696212736619,0.06451821578379792,0.08314041817722233,0.0013270301504109102,0.002831053578939197,0.0028261611120566116,0.001764707951743844,0.0025111526414488077,0.0031840350977895508,0.00249476103300808,0.0011751391942401888
indoor_tienda,60,17.86940200102941,17.789108670791098,17.699717505022768,18.298706758322965,0.5025440781243392,0.5708120541253605,0.5709048959273061,0.6744615458576511,0.7029321362574895,0.30609319855769473,0.32056189825137454,0.12542834083239232,0.0933510810183165,0.104686030907893,0.10553180317051333,0.09442752471486691,0.006219480687686148,0.008519210459026013,0.007699319372354397,0.005309195198437507,0.00494060432006793,0.0049791422464533636,0.005863018652332382,0.007172394842507605
